YEAR|RACE|SEX|SITE|EVENT_TYPE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|POPULATION
1999|All Races|Female|Acute Lymphocytic|Incidence|1.1|1.2|1.2|1652|140394214
1999|All Races|Female|Acute Lymphocytic|Mortality|0.4|0.4|0.4|582|142237295
2000|All Races|Female|Acute Lymphocytic|Incidence|1.2|1.3|1.3|1788|141865770
2000|All Races|Female|Acute Lymphocytic|Mortality|0.4|0.4|0.4|591|143719004
2001|All Races|Female|Acute Lymphocytic|Incidence|1.2|1.4|1.3|1837|143603977
2001|All Races|Female|Acute Lymphocytic|Mortality|0.4|0.5|0.4|644|145077463
2002|All Races|Female|Acute Lymphocytic|Incidence|1.2|1.3|1.3|1780|144919222
2002|All Races|Female|Acute Lymphocytic|Mortality|0.4|0.4|0.4|616|146394634
2003|All Races|Female|Acute Lymphocytic|Incidence|1.2|1.3|1.2|1795|147679036
2003|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.4|574|147679036
2004|All Races|Female|Acute Lymphocytic|Incidence|1.2|1.4|1.3|1901|148977286
2004|All Races|Female|Acute Lymphocytic|Mortality|0.4|0.4|0.4|606|148977286
2005|All Races|Female|Acute Lymphocytic|Incidence|1.2|1.3|1.3|1877|150319521
2005|All Races|Female|Acute Lymphocytic|Mortality|0.4|0.4|0.4|653|150319521
2006|All Races|Female|Acute Lymphocytic|Incidence|1.2|1.4|1.3|1927|151732647
2006|All Races|Female|Acute Lymphocytic|Mortality|0.4|0.4|0.4|623|151732647
2007|All Races|Female|Acute Lymphocytic|Incidence|1.3|1.4|1.4|2051|153166353
2007|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.4|605|153166353
2008|All Races|Female|Acute Lymphocytic|Incidence|1.4|1.5|1.4|2130|154604015
2008|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.4|607|154604015
2009|All Races|Female|Acute Lymphocytic|Incidence|1.3|1.5|1.4|2107|155964075
2009|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.4|596|155964075
2010|All Races|Female|Acute Lymphocytic|Incidence|1.3|1.5|1.4|2148|157253830
2010|All Races|Female|Acute Lymphocytic|Mortality|0.4|0.4|0.4|662|157253830
2011|All Races|Female|Acute Lymphocytic|Incidence|1.5|1.6|1.5|2334|158391404
2011|All Races|Female|Acute Lymphocytic|Mortality|0.4|0.4|0.4|659|158391404
2012|All Races|Female|Acute Lymphocytic|Incidence|1.4|1.5|1.4|2176|159515612
2012|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.3|598|159515612
2013|All Races|Female|Acute Lymphocytic|Incidence|1.3|1.4|1.4|2145|160594100
2013|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.4|625|160594100
2014|All Races|Female|Acute Lymphocytic|Incidence|1.4|1.5|1.4|2232|161749260
2014|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.4|655|161749260
2015|All Races|Female|Acute Lymphocytic|Incidence|1.4|1.6|1.5|2348|162903023
2015|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.3|633|162903023
2016|All Races|Female|Acute Lymphocytic|Incidence|1.4|1.5|1.5|2344|164062463
2016|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.3|634|164062463
2017|All Races|Female|Acute Lymphocytic|Incidence|1.4|1.5|1.5|2352|165084845
2017|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.4|674|165084845
2018|All Races|Female|Acute Lymphocytic|Incidence|1.5|1.6|1.6|2531|165957528
2018|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.4|709|165877686
2018-2022|All Races|Female|Acute Lymphocytic|Incidence|1.5|1.5|1.5|12216|835925441
2019|All Races|Female|Acute Lymphocytic|Incidence|1.5|1.6|1.5|2448|166720399
2019|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.3|655|166637617
2019-2023|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.3|0.3|3233|839050626
2020|All Races|Female|Acute Lymphocytic|Incidence|1.5|1.6|1.5|2470|167308759
2020|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.3|660|167308759
2021|All Races|Female|Acute Lymphocytic|Incidence|1.4|1.5|1.5|2365|167630750
2021|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.3|647|167630750
2022|All Races|Female|Acute Lymphocytic|Incidence|1.4|1.6|1.5|2402|168308005
2022|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.3|635|168308005
2023|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.3|0.3|636|169165495
1999|All Races|Female|Acute Myeloid|Incidence|3.0|3.2|3.1|4648|140394214
1999|All Races|Female|Acute Myeloid|Mortality|2.0|2.1|2.1|3225|142237295
2000|All Races|Female|Acute Myeloid|Incidence|3.1|3.2|3.2|4837|141865770
2000|All Races|Female|Acute Myeloid|Mortality|2.1|2.2|2.2|3405|143719004
2001|All Races|Female|Acute Myeloid|Incidence|3.1|3.3|3.2|4958|143603977
2001|All Races|Female|Acute Myeloid|Mortality|2.2|2.3|2.2|3551|145077463
2002|All Races|Female|Acute Myeloid|Incidence|2.9|3.1|3.0|4689|144919222
2002|All Races|Female|Acute Myeloid|Mortality|2.1|2.2|2.2|3499|146394634
2003|All Races|Female|Acute Myeloid|Incidence|3.0|3.2|3.1|5031|147679036
2003|All Races|Female|Acute Myeloid|Mortality|2.1|2.3|2.2|3617|147679036
2004|All Races|Female|Acute Myeloid|Incidence|3.0|3.1|3.0|4964|148977286
2004|All Races|Female|Acute Myeloid|Mortality|2.1|2.3|2.2|3701|148977286
2005|All Races|Female|Acute Myeloid|Incidence|2.9|3.1|3.0|4956|150319521
2005|All Races|Female|Acute Myeloid|Mortality|2.1|2.2|2.2|3625|150319521
2006|All Races|Female|Acute Myeloid|Incidence|3.0|3.1|3.0|5106|151732647
2006|All Races|Female|Acute Myeloid|Mortality|2.2|2.3|2.2|3814|151732647
2007|All Races|Female|Acute Myeloid|Incidence|3.0|3.2|3.1|5230|153166353
2007|All Races|Female|Acute Myeloid|Mortality|2.1|2.2|2.2|3727|153166353
2008|All Races|Female|Acute Myeloid|Incidence|3.0|3.2|3.1|5355|154604015
2008|All Races|Female|Acute Myeloid|Mortality|2.2|2.3|2.2|3965|154604015
2009|All Races|Female|Acute Myeloid|Incidence|3.0|3.2|3.1|5383|155964075
2009|All Races|Female|Acute Myeloid|Mortality|2.1|2.3|2.2|3972|155964075
2010|All Races|Female|Acute Myeloid|Incidence|3.4|3.6|3.5|6206|157253830
2010|All Races|Female|Acute Myeloid|Mortality|2.1|2.2|2.2|3959|157253830
2011|All Races|Female|Acute Myeloid|Incidence|3.5|3.7|3.6|6452|158391404
2011|All Races|Female|Acute Myeloid|Mortality|2.2|2.3|2.2|4148|158391404
2012|All Races|Female|Acute Myeloid|Incidence|3.4|3.6|3.5|6457|159515612
2012|All Races|Female|Acute Myeloid|Mortality|2.1|2.2|2.2|4083|159515612
2013|All Races|Female|Acute Myeloid|Incidence|3.5|3.7|3.6|6647|160594100
2013|All Races|Female|Acute Myeloid|Mortality|2.1|2.2|2.2|4121|160594100
2014|All Races|Female|Acute Myeloid|Incidence|3.6|3.8|3.7|6912|161749260
2014|All Races|Female|Acute Myeloid|Mortality|2.2|2.3|2.2|4379|161749260
2015|All Races|Female|Acute Myeloid|Incidence|3.5|3.6|3.5|6744|162903023
2015|All Races|Female|Acute Myeloid|Mortality|2.1|2.2|2.1|4182|162903023
2016|All Races|Female|Acute Myeloid|Incidence|3.5|3.7|3.6|6920|164062463
2016|All Races|Female|Acute Myeloid|Mortality|2.2|2.3|2.3|4537|164062463
2017|All Races|Female|Acute Myeloid|Incidence|3.5|3.7|3.6|7074|165084845
2017|All Races|Female|Acute Myeloid|Mortality|2.1|2.3|2.2|4512|165084845
2018|All Races|Female|Acute Myeloid|Incidence|3.5|3.7|3.6|7244|165957528
2018|All Races|Female|Acute Myeloid|Mortality|2.1|2.2|2.1|4517|165877686
2018-2022|All Races|Female|Acute Myeloid|Incidence|3.6|3.7|3.6|37552|835925441
2019|All Races|Female|Acute Myeloid|Incidence|3.6|3.7|3.7|7481|166720399
2019|All Races|Female|Acute Myeloid|Mortality|2.0|2.1|2.0|4477|166637617
2019-2023|All Races|Female|Acute Myeloid|Mortality|2.1|2.1|2.1|23208|839050626
2020|All Races|Female|Acute Myeloid|Incidence|3.5|3.7|3.6|7398|167308759
2020|All Races|Female|Acute Myeloid|Mortality|2.1|2.2|2.2|4673|167308759
2021|All Races|Female|Acute Myeloid|Incidence|3.6|3.8|3.7|7660|167630750
2021|All Races|Female|Acute Myeloid|Mortality|2.0|2.2|2.1|4651|167630750
2022|All Races|Female|Acute Myeloid|Incidence|3.6|3.8|3.7|7769|168308005
2022|All Races|Female|Acute Myeloid|Mortality|2.1|2.2|2.1|4754|168308005
2023|All Races|Female|Acute Myeloid|Mortality|2.0|2.1|2.0|4653|169165495
1999|All Races|Female|All Cancer Sites Combined|Incidence|419.4|421.5|420.5|631741|140394214
1999|All Races|Female|All Cancer Sites Combined|Mortality|166.6|167.9|167.2|264003|142237295
2000|All Races|Female|All Cancer Sites Combined|Incidence|420.3|422.4|421.3|641968|141865770
2000|All Races|Female|All Cancer Sites Combined|Mortality|166.1|167.3|166.7|267008|143719004
2001|All Races|Female|All Cancer Sites Combined|Incidence|426.6|428.7|427.6|662313|143603977
2001|All Races|Female|All Cancer Sites Combined|Mortality|164.0|165.2|164.6|266692|145077463
2002|All Races|Female|All Cancer Sites Combined|Incidence|423.7|425.8|424.7|667753|144919222
2002|All Races|Female|All Cancer Sites Combined|Mortality|162.8|164.0|163.4|268501|146394634
2003|All Races|Female|All Cancer Sites Combined|Incidence|418.4|420.4|419.4|676099|147679036
2003|All Races|Female|All Cancer Sites Combined|Mortality|160.6|161.8|161.2|268908|147679036
2004|All Races|Female|All Cancer Sites Combined|Incidence|419.4|421.4|420.4|687327|148977286
2004|All Races|Female|All Cancer Sites Combined|Mortality|157.3|158.5|157.9|267056|148977286
2005|All Races|Female|All Cancer Sites Combined|Incidence|422.2|424.2|423.2|702854|150319521
2005|All Races|Female|All Cancer Sites Combined|Mortality|155.9|157.1|156.5|268886|150319521
2006|All Races|Female|All Cancer Sites Combined|Incidence|423.0|425.0|424.0|714800|151732647
2006|All Races|Female|All Cancer Sites Combined|Mortality|154.0|155.2|154.6|269816|151732647
2007|All Races|Female|All Cancer Sites Combined|Incidence|425.4|427.4|426.4|730953|153166353
2007|All Races|Female|All Cancer Sites Combined|Mortality|151.4|152.6|152.0|270014|153166353
2008|All Races|Female|All Cancer Sites Combined|Incidence|428.9|430.8|429.8|749831|154604015
2008|All Races|Female|All Cancer Sites Combined|Mortality|148.7|149.8|149.3|270207|154604015
2009|All Races|Female|All Cancer Sites Combined|Incidence|429.9|431.9|430.9|763823|155964075
2009|All Races|Female|All Cancer Sites Combined|Mortality|146.6|147.7|147.1|270856|155964075
2010|All Races|Female|All Cancer Sites Combined|Incidence|422.4|424.3|423.3|763382|157253830
2010|All Races|Female|All Cancer Sites Combined|Mortality|145.3|146.4|145.8|273706|157253830
2011|All Races|Female|All Cancer Sites Combined|Incidence|425.7|427.6|426.6|780573|158391404
2011|All Races|Female|All Cancer Sites Combined|Mortality|143.5|144.6|144.1|274457|158391404
2012|All Races|Female|All Cancer Sites Combined|Incidence|425.6|427.5|426.5|793159|159515612
2012|All Races|Female|All Cancer Sites Combined|Mortality|142.2|143.3|142.8|276946|159515612
2013|All Races|Female|All Cancer Sites Combined|Incidence|428.4|430.3|429.3|810890|160594100
2013|All Races|Female|All Cancer Sites Combined|Mortality|140.1|141.2|140.6|277319|160594100
2014|All Races|Female|All Cancer Sites Combined|Incidence|430.3|432.2|431.2|827645|161749260
2014|All Races|Female|All Cancer Sites Combined|Mortality|139.2|140.2|139.7|280401|161749260
2015|All Races|Female|All Cancer Sites Combined|Incidence|434.3|436.2|435.3|848241|162903023
2015|All Races|Female|All Cancer Sites Combined|Mortality|137.6|138.6|138.1|282107|162903023
2016|All Races|Female|All Cancer Sites Combined|Incidence|432.8|434.7|433.7|858727|164062463
2016|All Races|Female|All Cancer Sites Combined|Mortality|136.0|137.1|136.5|283463|164062463
2017|All Races|Female|All Cancer Sites Combined|Incidence|430.9|432.8|431.9|869277|165084845
2017|All Races|Female|All Cancer Sites Combined|Mortality|133.7|134.7|134.2|283959|165084845
2018|All Races|Female|All Cancer Sites Combined|Incidence|432.2|434.0|433.1|884436|165957528
2018|All Races|Female|All Cancer Sites Combined|Mortality|128.1|129.1|128.6|283718|165877686
2018-2022|All Races|Female|All Cancer Sites Combined|Incidence|424.4|425.2|424.8|4457187|835925441
2019|All Races|Female|All Cancer Sites Combined|Incidence|436.7|438.5|437.6|907067|166720399
2019|All Races|Female|All Cancer Sites Combined|Mortality|125.5|126.4|125.9|283722|166637617
2019-2023|All Races|Female|All Cancer Sites Combined|Mortality|125.6|126.0|125.8|1435172|839050626
2020|All Races|Female|All Cancer Sites Combined|Incidence|399.2|401.0|400.1|839794|167308759
2020|All Races|Female|All Cancer Sites Combined|Mortality|127.2|128.2|127.7|284617|167308759
2021|All Races|Female|All Cancer Sites Combined|Incidence|431.5|433.4|432.4|918189|167630750
2021|All Races|Female|All Cancer Sites Combined|Mortality|126.3|127.3|126.8|286540|167630750
2022|All Races|Female|All Cancer Sites Combined|Incidence|420.6|422.4|421.5|907701|168308005
2022|All Races|Female|All Cancer Sites Combined|Mortality|124.9|125.8|125.4|289034|168308005
2023|All Races|Female|All Cancer Sites Combined|Mortality|123.2|124.1|123.6|291259|169165495
1999|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|419.4|421.5|420.5|631741|140394214
2000|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|420.3|422.4|421.3|641968|141865770
2001|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|421.4|423.4|422.4|653956|143603977
2002|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|418.3|420.3|419.3|658912|144919222
2003|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|412.7|414.7|413.7|666512|147679036
2004|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|413.3|415.3|414.3|676989|148977286
2005|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|415.7|417.7|416.7|691746|150319521
2006|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|416.4|418.3|417.3|703304|151732647
2007|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|418.3|420.3|419.3|718465|153166353
2008|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|421.7|423.7|422.7|737001|154604015
2009|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|422.8|424.7|423.8|750812|155964075
2010|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|414.5|416.4|415.5|748857|157253830
2011|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|417.4|419.3|418.4|765080|158391404
2012|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|417.6|419.5|418.6|778142|159515612
2013|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|419.9|421.8|420.9|794596|160594100
2014|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|422.1|424.0|423.1|811743|161749260
2015|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|425.9|427.8|426.9|831681|162903023
2016|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|424.3|426.2|425.3|841829|164062463
2017|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|422.7|424.6|423.6|852533|165084845
2018|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|423.4|425.2|424.3|866333|165957528
2018-2022|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|416.4|417.2|416.8|4372200|835925441
2019|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|428.2|430.1|429.1|889414|166720399
2020|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|391.4|393.2|392.3|823231|167308759
2021|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|423.4|425.2|424.3|900682|167630750
2022|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|413.8|415.6|414.7|892540|168308005
1999|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.5|1.6|1.5|2273|140394214
1999|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.2|0.2|294|142237295
2000|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.5|1.6|1.5|2314|141865770
2000|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.2|0.2|298|143719004
2001|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.5|1.6|1.5|2385|143603977
2001|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.2|0.2|326|145077463
2002|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.5|1.7|1.6|2484|144919222
2002|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.2|0.2|326|146394634
2003|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.6|1.8|1.7|2725|147679036
2003|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.2|0.2|369|147679036
2004|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.7|1.8|1.8|2901|148977286
2004|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.2|0.2|349|148977286
2005|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.7|1.9|1.8|2964|150319521
2005|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.2|0.2|369|150319521
2006|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.7|1.9|1.8|3067|151732647
2006|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.2|0.2|387|151732647
2007|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.9|2.0|1.9|3360|153166353
2007|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.2|0.2|389|153166353
2008|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.9|2.1|2.0|3509|154604015
2008|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.3|0.2|444|154604015
2009|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|2.1|2.2|2.1|3831|155964075
2009|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.3|0.3|0.3|516|155964075
2010|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|2.0|2.1|2.1|3790|157253830
2010|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.3|0.3|478|157253830
2011|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|2.1|2.2|2.1|4000|158391404
2011|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.3|0.3|518|158391404
2012|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|2.1|2.3|2.2|4186|159515612
2012|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.3|0.3|521|159515612
2013|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|2.1|2.3|2.2|4291|160594100
2013|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.3|0.3|529|160594100
2014|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|2.3|2.4|2.3|4635|161749260
2014|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.3|0.3|0.3|570|161749260
