YEAR,RACE,SEX,SITE,EVENT_TYPE,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,POPULATION
2018,Non-Hispanic American Indian/Alaska Native,Female,Acute Lymphocytic,Mortality,,,,,1224062
2019,Non-Hispanic American Indian/Alaska Native,Female,Acute Lymphocytic,Mortality,,,,,1230918
2019-2023,Non-Hispanic American Indian/Alaska Native,Female,Acute Lymphocytic,Mortality,0.3,0.6,0.4,26.0,6137446
2020,Non-Hispanic American Indian/Alaska Native,Female,Acute Lymphocytic,Mortality,,,,,1220598
2021,Non-Hispanic American Indian/Alaska Native,Female,Acute Lymphocytic,Mortality,,,,,1224571
2022,Non-Hispanic American Indian/Alaska Native,Female,Acute Lymphocytic,Mortality,,,,,1228392
2023,Non-Hispanic American Indian/Alaska Native,Female,Acute Lymphocytic,Mortality,,,,,1232967
2018,Non-Hispanic American Indian/Alaska Native,Female,Acute Myeloid,Mortality,0.8,2.2,1.3,17.0,1224062
2019,Non-Hispanic American Indian/Alaska Native,Female,Acute Myeloid,Mortality,0.9,2.4,1.6,20.0,1230918
2019-2023,Non-Hispanic American Indian/Alaska Native,Female,Acute Myeloid,Mortality,1.1,1.7,1.4,92.0,6137446
2020,Non-Hispanic American Indian/Alaska Native,Female,Acute Myeloid,Mortality,,,,,1220598
2021,Non-Hispanic American Indian/Alaska Native,Female,Acute Myeloid,Mortality,1.2,2.8,1.9,25.0,1224571
2022,Non-Hispanic American Indian/Alaska Native,Female,Acute Myeloid,Mortality,0.8,2.1,1.3,18.0,1228392
2023,Non-Hispanic American Indian/Alaska Native,Female,Acute Myeloid,Mortality,0.7,1.9,1.2,16.0,1232967
2018,Non-Hispanic American Indian/Alaska Native,Female,"Anus, Anal Canal and Anorectum",Mortality,,,,,1224062
2019,Non-Hispanic American Indian/Alaska Native,Female,"Anus, Anal Canal and Anorectum",Mortality,,,,,1230918
2019-2023,Non-Hispanic American Indian/Alaska Native,Female,"Anus, Anal Canal and Anorectum",Mortality,0.2,0.5,0.3,21.0,6137446
2020,Non-Hispanic American Indian/Alaska Native,Female,"Anus, Anal Canal and Anorectum",Mortality,,,,,1220598
2021,Non-Hispanic American Indian/Alaska Native,Female,"Anus, Anal Canal and Anorectum",Mortality,,,,,1224571
2022,Non-Hispanic American Indian/Alaska Native,Female,"Anus, Anal Canal and Anorectum",Mortality,,,,,1228392
2023,Non-Hispanic American Indian/Alaska Native,Female,"Anus, Anal Canal and Anorectum",Mortality,,,,,1232967
2018,Non-Hispanic American Indian/Alaska Native,Female,Bones and Joints,Mortality,,,,,1224062
2019,Non-Hispanic American Indian/Alaska Native,Female,Bones and Joints,Mortality,,,,,1230918
2019-2023,Non-Hispanic American Indian/Alaska Native,Female,Bones and Joints,Mortality,0.1,0.4,0.2,16.0,6137446
2020,Non-Hispanic American Indian/Alaska Native,Female,Bones and Joints,Mortality,,,,,1220598
2021,Non-Hispanic American Indian/Alaska Native,Female,Bones and Joints,Mortality,,,,,1224571
2022,Non-Hispanic American Indian/Alaska Native,Female,Bones and Joints,Mortality,,,,,1228392
2023,Non-Hispanic American Indian/Alaska Native,Female,Bones and Joints,Mortality,,,,,1232967
2018,Non-Hispanic American Indian/Alaska Native,Female,Cervix,Mortality,1.7,3.5,2.5,32.0,1224062
2019,Non-Hispanic American Indian/Alaska Native,Female,Cervix,Mortality,1.6,3.4,2.4,31.0,1230918
2019-2023,Non-Hispanic American Indian/Alaska Native,Female,Cervix,Mortality,2.4,3.2,2.8,177.0,6137446
2020,Non-Hispanic American Indian/Alaska Native,Female,Cervix,Mortality,1.4,3.2,2.2,29.0,1220598
2021,Non-Hispanic American Indian/Alaska Native,Female,Cervix,Mortality,3.1,5.5,4.2,53.0,1224571
2022,Non-Hispanic American Indian/Alaska Native,Female,Cervix,Mortality,1.7,3.7,2.6,30.0,1228392
2023,Non-Hispanic American Indian/Alaska Native,Female,Cervix,Mortality,1.8,3.6,2.6,34.0,1232967
2018,Non-Hispanic American Indian/Alaska Native,Female,Chronic Lymphocytic,Mortality,,,,,1224062
