Cancer_Type,Year,incidence_rate,mortality_rate
Colon and Rectum,1999,52.589999999999996,18.94
Colon and Rectum,2000,51.11,18.94
Colon and Rectum,2001,51.089999999999996,18.69
Colon and Rectum,2002,50.339999999999996,18.82
Colon and Rectum,2003,49.989999999999995,18.04
Colon and Rectum,2004,48.79,17.26
Colon and Rectum,2005,47.48,17.13
Colon and Rectum,2006,47.35,16.630000000000003
Colon and Rectum,2007,46.2,16.43
Colon and Rectum,2008,45.489999999999995,16.81
Colon and Rectum,2009,43.82,15.98
Colon and Rectum,2010,42.46,15.6
Colon and Rectum,2011,41.81,15.569999999999999
Colon and Rectum,2012,40.13,14.86
Colon and Rectum,2013,40.14,15.05
Colon and Rectum,2014,39.989999999999995,14.25
Colon and Rectum,2015,39.94,14.45
Colon and Rectum,2016,39.739999999999995,13.75
Colon and Rectum,2017,38.65,13.87
Colon and Rectum,2018,38.15,12.583333333333334
Colon and Rectum,2019,37.72,12.191666666666668
Colon and Rectum,2020,33.410000000000004,12.583333333333334
Colon and Rectum,2021,37.72,13.049999999999999
Colon and Rectum,2022,36.81,12.625
Colon and Rectum,2023,36.81,12.558333333333335
Female Breast,1999,107.1,21.740000000000002
Female Breast,2000,104.88,21.259999999999998
Female Breast,2001,105.55999999999999,20.919999999999998
Female Breast,2002,106.04,21.18
Female Breast,2003,102.34,21.259999999999998
Female Breast,2004,101.88,20.94
Female Breast,2005,102.3,20.8
Female Breast,2006,103.28,19.880000000000003
Female Breast,2007,106.82000000000001,19.380000000000003
Female Breast,2008,106.74000000000001,19.34
Female Breast,2009,106.94000000000001,18.94
Female Breast,2010,106.25999999999999,18.72
Female Breast,2011,110.17999999999999,18.52
Female Breast,2012,110.17999999999999,18.380000000000003
Female Breast,2013,112.98000000000002,17.880000000000003
Female Breast,2014,113.34,18.119999999999997
Female Breast,2015,114.4,18.52
Female Breast,2016,114.17999999999999,18.02
Female Breast,2017,115.3,17.94
Female Breast,2018,116.44000000000001,18.966666666666665
Female Breast,2019,120.16,18.433333333333334
Female Breast,2020,108.52000000000001,18.2
Female Breast,2021,124.04,19.383333333333333
Female Breast,2022,120.58,17.5
Female Breast,2023,120.58,18.2
Liver and Intrahepatic Bile Duct,1999,8.53,6.93
Liver and Intrahepatic Bile Duct,2000,8.77,7.5200000000000005
Liver and Intrahepatic Bile Duct,2001,9.059999999999999,7.49
Liver and Intrahepatic Bile Duct,2002,9.02,7.470000000000001
Liver and Intrahepatic Bile Duct,2003,9.28,7.68
Liver and Intrahepatic Bile Duct,2004,10.17,8.09
Liver and Intrahepatic Bile Duct,2005,10.040000000000001,7.87
Liver and Intrahepatic Bile Duct,2006,10.1,7.85
Liver and Intrahepatic Bile Duct,2007,10.9,7.88
Liver and Intrahepatic Bile Duct,2008,11.110000000000001,8.15
Liver and Intrahepatic Bile Duct,2009,11.709999999999999,8.209999999999999
Liver and Intrahepatic Bile Duct,2010,11.709999999999999,8.73
Liver and Intrahepatic Bile Duct,2011,11.86,8.53
Liver and Intrahepatic Bile Duct,2012,11.739999999999998,8.78
Liver and Intrahepatic Bile Duct,2013,12.08,9.03
Liver and Intrahepatic Bile Duct,2014,12.67,8.809999999999999
Liver and Intrahepatic Bile Duct,2015,13.05,8.93
Liver and Intrahepatic Bile Duct,2016,12.85,8.98
Liver and Intrahepatic Bile Duct,2017,12.469999999999999,8.9
Liver and Intrahepatic Bile Duct,2018,12.49,9.154545454545454
Liver and Intrahepatic Bile Duct,2019,12.62,9.227272727272727
Liver and Intrahepatic Bile Duct,2020,11.290000000000001,9.208333333333334
